ID;Country name;Year;Population;Population at age 1;Population aged 1 to 4 years;Population aged 5 to 9 years;Population aged 10 to 14 years;Population aged 15 to 19 years;Population aged 20 to 29 years;Population aged 30 to 39 years;Population aged 40 to 49 years;Population aged 50 to 59 years;Population aged 60 to 69 years;Population aged 70 to 79 years;Population aged 80 to 89 years;Population aged 90 to 99 years;Population older than 100 years
460;United Kingdom;2019;66778660;748729;3125233;4138185;3950854;3666429;8661245;8890551;8433421;9051662;7139774;5636186;2753307;595244;14764
461;United Kingdom;2020;67059470;724488;3062056;4130313;4041200;3689876;8583263;8928713;8396630;9110941;7234399;5770255;2781349;617779;17493
462;United Kingdom;2021;67281040;697700;2972601;4106834;4124157;3751467;8472832;8968413;8365010;9139108;7368672;5878974;2795296;637794;20827
463;United States;1980;223140020;3217778;12565007;16194639;17925580;20682396;40512080;30375500;23168652;23239924;18576292;11382592;4394189;648927;14148
464;United States;1981;225654000;3306488;12891129;15836433;17895312;20224292;41240470;31729492;23264312;23292354;18800290;11756461;4490117;683799;15550
465;United States;1982;228001420;3372497;13217491;15687410;17800396;19697080;41561348;33246580;23569340;23296138;18908916;12082427;4627432;718475;17136
466;United States;1983;230389970;3393569;13492139;15810109;17552908;19249316;42063068;34258820;24186976;23043378;19271144;12362019;4771729;747167;18735
467;United States;1984;232766290;3388385;13676985;16055495;17247788;18891100;42337890;35450732;24843648;22779548;19626364;12637003;4865145;779300;20252
468;United States;1985;235146180;3405055;13769269;16392351;16870176;18720180;42374812;36860364;25476836;22697114;19721792;12830182;4992811;819447;21677
469;United States;1986;237512780;3474907;13851990;16780540;16485714;18703664;42142760;38035176;26326164;22602072;19901144;13033704;5120537;855520;22989
470;United States;1987;239853170;3544934;13988315;17126676;16339315;18630072;41707156;38834424;27527320;22455084;20167860;13231182;5256426;885945;24195
471;United States;1988;242287800;3576427;14182239;17383612;16461999;18452124;41195940;39643010;28741260;22393180;20407922;13347367;5411558;919522;25639
472;United States;1989;244954100;3626535;14415960;17549658;16744466;18215848;40722160;40735850;29675584;22321812;20636996;13579651;5570398;943170;27515
473;United States;1990;248083730;3741209;14685606;17715040;17162600;17895668;40400160;42111410;30404008;22327488;20796212;13922484;5749126;969249;29387
474;United States;1991;251560200;3870396;14995389;17914008;17665856;17534976;40150570;42950356;31793146;22498044;20906372;14186788;5961632;999351;31009
475;United States;1992;255175330;3945472;15350935;18150758;18143646;17420970;39827750;43470532;33395926;22848744;20968708;14382394;6176434;1043686;32362
476;United States;1993;258779760;3942584;15675407;18454890;18532328;17618960;39368216;44163436;34513030;23508076;20815814;14754809;6351315;1087282;33205
477;United States;1994;262273580;3890458;15847034;18838780;18803510;17990240;38863868;44606624;35820652;24221440;20684736;15093291;6513670;1109363;34406
478;United States;1995;265660560;3841091;15836211;19271336;19008552;18470384;38473190;44791550;37345176;24906898;20725560;15202760;6642495;1145613;36285
479;United States;1996;268984350;3808177;15709363;19712554;19222596;18985480;38285390;44699948;38622932;25833022;20759146;15395213;6762136;1179008;37745
480;United States;1997;272395420;3791941;15575341;20138452;19478246;19451956;38337656;44447730;39536976;27128778;20723080;15682366;6867773;1211332;38520
481;United States;1998;275835000;3796366;15496713;20465346;19794312;19804032;38515880;44128270;40483264;28429898;20753052;15943886;6934108;1251216;39538
482;United States;1999;279181570;3813304;15468243;20616078;20177004;20034304;38728190;43808144;41696790;29462322;20776098;16193498;7066651;1280704;39617
483;United States;2000;282398560;3841608;15450763;20554550;20583076;20203428;38936810;43544296;43067164;30301492;20855506;16374638;7265489;1305598;39100
484;United States;2001;285470500;3915387;15480378;20330080;20952822;20381380;39147560;43290460;43778588;31722276;21066442;16498368;7441442;1341815;38781
485;United States;2002;288350240;3991543;15610588;20058018;21270452;20608240;39434132;42946364;44130080;33289272;21406816;16588943;7569309;1380659;39370
486;United States;2003;291109820;4001330;15779202;19826100;21481408;20877036;39811770;42436908;44671040;34400148;22007336;16525790;7820219;1408753;39886
487;United States;2004;293947870;4000209;15936786;19672812;21531404;21189852;40259944;41851690;45034696;35718084;22675220;16463900;8087803;1440339;39483
488;United States;2005;296842660;4017136;16046676;19641488;21432848;21534920;40774916;41353670;45196736;37212956;23345934;16515330;8215511;1470417;40265
489;United States;2006;299753100;4027615;16095876;19746692;21261834;21854152;41336692;41041060;45104730;38414204;24246760;16588600;8416678;1501117;41053
490;United States;2007;302743400;4062703;16172834;19932880;21088760;22133700;41859616;40920652;44853040;39256320;25467232;16625662;8695265;1538121;42209
491;United States;2008;305694900;4108783.2;16294588;20155756;20962806;22314504;42280590;40887704;44546960;40124400;26717958;16719075;8937549;1568468;43857
492;United States;2009;308512030;4089610;16377706;20379804;20908244;22337042;42617108;40871932;44249496;41240964;27747180;16828928;9218824;1631472;45717
493;United States;2010;311182850;4023655;16375220;20527756;20920994;22198476;43001750;40846092;43983650;42513170;28564366;17000308;9475738;1728791;48173
494;United States;2011;313876600;3996183;16338435;20665356;20977598;21941708;43550480;40891540;43743180;43172950;29861124;17250614;9618576;1824251;51001
495;United States;2012;316651330;4000616;16283519;20883478;21043360;21677404;44164496;41153916;43463452;43507252;31255806;17576484;9695520;1905395;54206
496;United States;2013;319375170;3996242;16200342;21089836;21128164;21498516;44687680;41595356;43033948;44023908;32248432;18105848;9704284;2023993;56990
497;United States;2014;322033950;3989028;16134503;21207068;21227324;21415550;45069916;42092772;42535348;44364064;33445044;18663918;9711051;2126594;59779
498;United States;2015;324607780;3996151;16106017;21236796;21307804;21442032;45283476;42658324;42127540;44495910;34816530;19188100;9743962;2148975;62841
499;United States;2016;327210200;4010290;16120619;21178198;21459942;21540872;45386444;43328236;41894604;44406640;35887990;19973256;9807999;2175584;68618
500;United States;2017;329791230;4001939;16149805;21021816;21727004;21648568;45442850;43997944;41849910;44189810;36615508;21058776;9870434;2198528;74132
501;United States;2018;332140030;3959661;16136498;20824568;21965044;21769562;45411656;44593664;41885420;43926260;37408200;22114840;9968600;2175199;75558
502;United States;2019;334319680;3891189;16027104;20697076;22092168;21895120;45278736;45139104;41938816;43693936;38441936;22961404;10096043;2157823;78955
503;United States;2020;335942000;3825718;15797921;20626942;22032766;21964938;45113500;45581348;41924790;43489470;39581588;23576836;10227970;2209593;84569
504;United States;2021;336997630;3734666;15475148;20549332;21764846;22044984;44924330;45928188;41901384;43182440;40098816;24621928;10395926;2331305;89739
505;Yemen;1980;9204941;397175;1433215;1409778;1128651;894139;1291519;974511;693989;473147;292801;133431;29905;1546;1
506;Yemen;1981;9529117;416894;1502333;1472186;1177343;930934;1331472;986427;710860;483738;299650;136872;30750;1572;2
507;Yemen;1982;9872295;434474;1574260;1538547;1227753;971446;1375347;999629;727903;494923;306699;140432;31608;1600;2
508;Yemen;1983;10237395;452630;1649541;1609543;1280000;1015290;1423311;1014492;745474;506814;314065;144194;32519;1636;2
509;Yemen;1984;10625686;472003;1726647;1688004;1334801;1060907;1476841;1031038;764264;519419;321859;148218;33517;1688;2
510;Yemen;1985;11036921;490846;1802908;1773318;1393477;1108363;1536900;1049136;784681;532628;329997;152423;34593;1760;1
511;Yemen;1986;11465449;509974;1880366;1862369;1456155;1157557;1601269;1067065;806382;546312;338187;156652;35707;1850;1
512;Yemen;1987;11915564;529591;1958843;1955088;1522962;1208743;1672120;1086464;829509;561300;346699;161051;36886;1953;2
513;Yemen;1988;12387243;548530;2036408;2051945;1594256;1261741;1748613;1111102;851349;577626;355730;165754;38152;2045;2
514;Yemen;1989;12872367;567588;2113765;2149323;1672638;1316470;1827171;1141236;870461;594194;364997;170585;39453;2124;3
515;Yemen;1990;13375127;585611;2189881;2245697;1757792;1375028;1910062;1178555;886900;611125;374589;175562;40789;2205;3
516;Yemen;1991;13895858;603168;2263911;2343304;1846624;1437575;1997829;1222248;901582;628454;384596;180688;42177;2291;3
517;Yemen;1992;14433772;621240;2336975;2440929;1939032;1504188;2090815;1269522;917385;645907;395095;185950;43610;2375;3
518;Yemen;1993;14988045;638969;2408589;2537789;2035619;1575330;2188453;1320231;934488;663715;406120;191382;45095;2466;3
519;Yemen;1994;15553180;656034;2479149;2633432;2132804;1653551;2289411;1375246;952549;682269;417505;196934;46621;2560;3
520;Yemen;1995;16103338;668486;2543947;2726680;2228449;1736191;2387564;1430513;969271;701112;428855;202462;48090;2603;3
521;Yemen;1996;16614329;674973;2596467;2817285;2324625;1819613;2480070;1483564;983118;720253;440308;207889;49475;2593;3
522;Yemen;1997;17108686;667314;2624008;2906064;2420754;1906558;2574370;1538669;996312;739878;452518;213403;50883;2602;3
523;Yemen;1998;17608138;662046;2630372;2992437;2516149;1998681;2674583;1596745;1013185;757547;465454;219088;52363;2639;3
524;Yemen;1999;18114552;669162;2632366;3073175;2610250;2092204;2783960;1656515;1035185;772629;478586;224955;53914;2692;2
525;Yemen;2000;18628704;679307;2638451;3143573;2702387;2185278;2903575;1718189;1062807;784787;491935;231093;55551;2751;3
526;Yemen;2001;19143456;690464;2663222;3189618;2792604;2279805;3030560;1782052;1095111;794832;505520;237549;57265;2815;3
527;Yemen;2002;19660662;695744;2698327;3214118;2881241;2374432;3165145;1848439;1129393;805408;519124;244400;59070;2890;3
528;Yemen;2003;20188800;702946;2733509;3229956;2967524;2468292;3308835;1917042;1165496;816654;532925;251647;60966;2973;2
529;Yemen;2004;20733406;718139;2773843;3244452;3048344;2561283;3462314;1987808;1204639;828440;547327;259196;62959;3069;2
530;Yemen;2005;21320676;736046;2821854;3264639;3119604;2655681;3634213;2068861;1250138;841615;563108;267232;65175;3236;2
531;Yemen;2006;21966304;752928;2882340;3298726;3167554;2752223;3828366;2164513;1303497;856386;580961;276116;67675;3493;1
532;Yemen;2007;22641538;772895;2955140;3345785;3194182;2847356;4032969;2269535;1362623;872258;600039;285894;70323;3764;1
533;Yemen;2008;23329008;790710;3029528;3401340;3212057;2938521;4241763;2381831;1425397;891868;617603;296282;73047;4014;1
534;Yemen;2009;24029594;805344;3099961;3464648;3228630;3022902;4450430;2505222;1490903;916633;633013;306836;75853;4277;2
535;Yemen;2010;24743944;820197;3168083;3533104;3250335;3096188;4656477;2641476;1559702;947052;645900;317473;78729;4561;3
536;Yemen;2011;25475608;834845;3230648;3615284;3285033;3145008;4862103;2788660;1632669;982537;657144;328281;81728;4846;4
537;Yemen;2012;26223390;851488;3291611;3706913;3332329;3172247;5065454;2946923;1710266;1020702;669091;339077;84870;5125;5
538;Yemen;2013;26984008;868404;3354482;3796657;3387987;3190554;5263492;3116829;1791951;1061298;681807;349939;88114;5389;6
539;Yemen;2014;27753310;884880;3418688;3882070;3451208;3206957;5450881;3296531;1876608;1105059;695083;361125;91400;5638;7
540;Yemen;2015;28516552;900869;3483512;3963917;3519200;3227017;5618034;3481412;1964799;1151885;708244;372497;94591;5856;7
541;Yemen;2016;29274010;913967;3544488;4041369;3600556;3259231;5752887;3670822;2057788;1201992;721156;384511;97839;6064;8
542;Yemen;2017;30034386;923612;3598706;4117211;3691279;3304409;5862849;3864944;2156846;1256175;734665;397203;101340;6284;8
543;Yemen;2018;30790514;930540;3643593;4194048;3779969;3357767;5957212;4060882;2261942;1313126;750973;408348;104938;6509;8
544;Yemen;2019;31546694;939023;3681008;4271597;3864228;3418962;6042447;4254819;2376892;1372097;771287;417505;108440;6742;9
545;Yemen;2020;32284044;948294;3714538;4347478;3944882;3483841;6116834;4441041;2501479;1432099;794033;422627;110676;6800;9
546;Yemen;2021;32981644;954753;3744180;4415672;4020745;3559669;6170019;4617695;2631620;1492683;817742;423662;111419;6651;8
